Data,Hora,Sensor,Elev,Azim,Dist,X_Rampa,Y_Rampa,Z_Rampa,BPS,BPG,BPD,Modo,Snl_Rdo,Valido,SAGADA,Vx,Vy,Vz,Erro_IF,Retardo
25/07/2023,13:30:01:435,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:444,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,4
25/07/2023,13:30:01:455,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:465,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:475,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:485,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:495,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:505,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:515,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:525,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:535,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:545,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:555,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:565,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:575,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:585,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:595,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:605,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
